PareaRAW,AvgWidRAW,MaxDepRAW,AltRAW,CndRAW,pHRAW
2602,3,229,390,184,7.9
247,3,102,170,751,7.5
280,2.3,82,395,46,6.5
704,1,181,395,43,6.9
328,2.5,74,185,31,6.1
300,1.3,147,140,81,6.8
199,1.9,151,160,222,8.1
462,2.4,237,105,48,6.5
460,1.4,168,100,51,6.5
61,1.4,219,165,81,6.7
118,2.9,61,115,42,6.1
142,2.3,110,75,175,6.7
48,2,116,170,18,6.0
145,2.3,196,155,20,6.1
170,0.8,220,110,97,6.8
20,1.1,66,60,148,7.0
61,0.7,81,140,76,6.1
54,2.2,141,145,481,6.8
256,0.8,148,115,197,6.8
653,2.6,287,125,26,5.9
128,2.5,148,110,37,6.4
19,0.4,80,110,177,6.9
94,2.7,142,105,142,7.0
163,1.5,165,160,46,5.8
474,1.8,295,160,37,6.6
33,1.9,79,110,911,6.1
183,0.2,109,135,108,6.9
700,2.8,225,110,39,6.0
137,1.3,129,125,29,5.8
300,2.3,27,110,477,7.4
463,2.4,107,160,153,6.7
975,3,162,290,344,7.6
232,2.8,98,200,243,7.7
168,2.3,149,325,278,6.7
1707,3,310,330,239,7.3
171,2.5,109,440,112,6.6
241,3,87,150,830,7.4
1190,3,44,160,498,7.5
1370,2.72,232,205,760,7.9
103,0.9,82,215,725,7.4
2219,3,350,180,781,8.0
144,2.5,127,45,265,7.4
304,2.3,134,30,101,6.8
66,2.4,27,30,44,6.3
357,2.3,75,20,143,6.5
481,1.7,160,20,272,7.2
420,0.5,166,20,263,7.3
263,3,92,20,297,7.4
546,2.6,117,20,353,7.4
181,1.3,173,20,367,7.5
286,2.2,145,20,322,6.9
171,2.4,104,20,302,6.9
484,2,165,25,255,7.2
806,1.5,248,20,145,7.0
101,2.8,124,30,266,7.2
155,2,147,50,69,6.4
29,1.5,42,50,173,7.6
69,1,263,100,63,6.6
2283,2.9,352,25,57,6.4
158,2.2,106,80,47,6.3
3010,2.9,208,85,390,7.2
52,2.2,121,100,143,6.3
118,1.9,208,100,175,6.6
