NR,AFF
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,5
69,5
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,7
78,7
79,7
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,8
89,8
90,8
91,8
92,8
93,8
94,8
95,8
96,8
97,8
98,8
99,8
100,8
101,8
102,8
103,8
104,8
105,8
106,8
107,9
108,9
109,9
110,9
111,9
112,9
113,9
114,9
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,10
124,10
125,10
126,10
127,10
128,10
129,11
130,11
131,11
132,11
133,11
134,11
135,11
136,11
137,11
138,11
139,11
140,11
141,11
142,11
143,11
144,11
145,11
146,11
147,11
148,11
149,11
150,11
