Xco,Yco,VertRan,SlopeAvg,SlopeMa25,SlopeMa10,DistMSoil,SoilDMVL,SoilDMWT,CanopyCAvg,CanopyCMax,CanopyCMin,TreeInfLiv,TreeInfAll,BasalArea,CrownI,LitterI,SnowC0423,WatTab100,WatTab90,WatTab50,WatTab10,WatTab0,WatTabRan,WatTabHMi,WatTabLMa,WatTem0527,WatTem0826,WatpH0527,WatpH0826,WatECo0527,WatECo0826,WatO0527,WatO0826,SoilVolWt,SoilLossOI,SoilpHH2O,SoilpHKCl,SoilCEC,SoilBaSat,HumusC,HumusN,HumusP,HumusS,HumusExAc,HumusCa,HumusMg,HumusK,HumusNa,HumusBa,HumusFe,HumusMn,HumusSr,HumusZn,HumusAl,NVas,NMos,NSph,NHep,NCry,NTot,DCA1,DCA2,DCA3,DCA4,SSK1,SSK2,SSK3,SSK4,SSK5,SSK6,SSK7,SSK8,SSK9,SSK10
944.1,2.1,0.479,0.449,0.352,0.305,0.093,0.296,0.153,0.364,0.272,0.429,0.190,0.311,0.234,0.682,0.654,0.218,0.653,0.718,0.752,0.718,0.661,0.591,0.651,0.800,0.656,0.573,0.182,0.074,0.392,0.441,0.576,0.699,0.243,0.595,0.257,0.233,0.610,0.166,0.695,0.411,0.005,0.365,0.747,0.383,0.407,0.502,0.146,0.282,0.849,0.597,0.371,0.468,0.795,0.662,0.307,0.526,0.324,0.429,0.516,1.79,1.99,1.21,1.04,1,0,0,0,0,0,0,0,0,0
946.1,2.0,0.529,0.680,0.609,0.654,0.391,0.504,0.468,0.330,0.218,0.320,0.060,0.176,0.114,0.648,0.247,0.820,0.214,0.224,0.303,0.306,0.000,0.556,0.230,0.111,0.864,0.470,0.447,0.784,0.419,0.871,0.805,0.541,0.691,0.029,0.724,0.810,0.624,0.737,0.765,0.780,0.473,0.618,0.195,0.799,0.511,0.475,0.234,0.541,0.488,0.890,0.691,0.435,0.349,0.789,0.796,0.400,0.703,0.819,0.877,3.08,0.77,1.27,1.13,1,0,0,0,0,0,0,0,0,0
946.2,23.0,0.634,0.766,0.680,0.739,0.025,0.416,0.365,0.432,0.218,0.540,0.566,0.590,0.298,0.295,0.190,0.820,0.379,0.408,0.425,0.469,0.493,0.326,0.441,0.411,0.809,0.540,0.848,0.616,0.730,0.677,0.410,0.408,0.468,0.523,0.530,0.566,0.891,0.749,0.795,0.403,0.007,0.551,0.316,0.774,0.496,0.255,0.186,0.300,0.575,0.674,0.545,0.249,0.460,0.516,0.494,0.526,0.586,0.636,0.564,1.69,1.33,1.37,1.86,1,0,0,0,0,0,0,0,0,0
948.2,22.9,0.615,0.550,0.639,0.481,0.349,0.774,0.758,0.501,0.331,0.540,0.355,0.663,0.396,0.227,0.056,0.896,0.226,0.238,0.202,0.210,0.266,0.373,0.223,0.118,0.891,0.573,0.726,0.518,0.668,0.611,0.441,0.679,0.437,0.318,0.650,0.650,0.791,0.757,0.774,0.590,0.016,0.651,0.291,0.721,0.567,0.522,0.368,0.379,0.499,0.681,0.585,0.399,0.428,0.554,0.307,0.400,0.324,0.388,0.412,1.60,0.12,1.46,1.77,1,0,0,0,0,0,0,0,0,0
952.2,22.7,0.312,0.615,0.377,0.305,0.411,0.828,0.815,0.229,0.218,0.320,0.000,0.012,0.363,0.028,0.000,0.896,0.324,0.346,0.343,0.304,0.297,0.480,0.274,0.457,0.932,0.573,0.715,0.564,0.530,0.369,0.376,0.659,0.614,0.277,0.589,0.642,0.634,0.644,0.491,0.744,0.019,0.604,0.268,0.617,0.425,0.322,0.181,0.407,0.501,0.847,0.550,0.389,0.465,0.695,0.882,0.400,0.648,0.842,0.840,2.34,0.54,1.15,1.25,1,0,0,0,0,0,0,0,0,0
948.7,51.9,0.479,0.580,0.423,0.481,0.465,0.666,0.648,0.535,0.462,0.485,0.046,0.066,0.430,0.571,0.173,0.896,0.019,0.000,0.000,0.006,0.092,0.276,0.093,0.232,0.993,0.573,0.557,0.665,0.411,0.443,0.792,0.699,0.585,0.389,0.661,0.666,0.766,0.880,0.567,0.861,0.448,0.613,0.140,0.731,0.449,0.169,0.261,0.425,0.406,0.615,0.625,0.330,0.335,0.627,0.603,0.400,0.703,0.720,0.699,2.91,0.94,1.35,1.34,1,0,0,0,0,0,0,0,0,0
952.7,51.7,0.505,0.472,0.300,0.234,0.000,0.770,0.753,0.483,0.394,0.540,0.292,0.048,0.330,0.320,0.414,0.932,0.224,0.241,0.243,0.268,0.326,0.301,0.259,0.363,0.822,0.573,0.921,0.774,0.758,0.823,0.441,0.433,0.514,0.239,0.487,0.491,0.501,0.540,0.422,0.837,0.022,0.532,0.441,0.508,0.401,0.296,0.158,0.410,0.524,0.539,0.474,0.436,0.660,0.293,0.000,0.270,0.000,0.000,0.000,2.30,0.26,1.89,0.87,1,0,0,0,0,0,0,0,0,0
948.4,70.0,0.897,0.942,0.921,0.739,0.000,0.439,0.362,0.982,0.793,1.000,0.852,0.949,0.143,0.600,0.665,0.078,0.573,0.633,0.653,0.678,0.687,0.373,0.737,0.400,0.642,0.713,0.821,0.967,0.883,0.721,0.410,0.341,0.617,0.625,0.291,0.336,0.688,0.691,0.590,0.541,0.791,0.485,0.336,0.607,0.449,0.429,0.183,0.419,0.445,0.599,0.538,0.496,0.350,0.241,0.603,0.137,0.648,0.636,0.412,2.39,3.64,1.62,2.23,1,0,0,0,0,0,0,0,0,0
950.7,69.9,0.091,0.000,0.000,0.000,0.370,0.600,0.578,0.432,0.331,0.485,0.671,0.603,0.056,0.416,0.041,1.000,0.117,0.135,0.049,0.000,0.053,0.417,0.084,0.456,0.829,0.928,0.867,0.881,0.578,0.549,0.695,0.355,0.222,0.473,0.718,0.713,1.000,0.938,0.774,0.513,0.767,0.811,0.117,0.880,0.611,0.248,0.290,0.369,0.000,0.539,0.623,0.325,0.212,0.516,0.237,0.400,0.000,0.247,0.300,2.06,0.00,1.49,1.42,1,0,0,0,0,0,0,0,0,0
953.9,102.7,0.961,1.000,0.882,0.739,0.275,0.571,0.517,0.364,0.536,0.212,0.085,0.869,0.234,0.137,0.000,0.401,0.671,0.681,0.647,0.672,0.696,0.574,0.803,0.224,0.712,0.683,0.583,0.435,0.318,0.230,0.576,0.433,0.309,0.503,0.425,0.410,0.561,0.520,1.000,0.582,0.680,0.653,0.477,0.498,0.429,0.297,0.286,0.467,0.506,0.290,0.514,0.493,0.641,0.554,0.796,0.526,0.514,0.771,0.699,2.01,3.01,1.40,1.44,1,0,0,0,0,0,0,0,0,0
957.4,102.5,0.235,0.335,0.148,0.288,0.218,0.610,0.584,0.728,0.462,0.767,0.834,0.639,0.114,0.702,1.000,0.000,0.378,0.325,0.194,0.194,0.181,0.641,0.322,0.441,0.635,0.589,0.748,0.918,0.569,0.585,0.410,0.421,0.672,0.386,0.564,0.600,0.669,0.807,0.515,0.648,0.505,0.486,0.155,0.656,0.376,0.310,0.156,0.425,0.431,0.721,0.500,0.297,0.332,0.727,0.435,0.137,0.000,0.297,0.491,3.34,1.26,1.41,0.94,1,0,0,0,0,0,0,0,0,0
953.5,124.8,0.425,0.506,0.377,0.305,0.248,0.733,0.704,0.535,0.394,0.374,0.016,0.040,0.534,0.532,0.716,0.607,0.661,0.655,0.581,0.579,0.574,0.719,0.642,0.723,0.494,0.637,0.141,0.153,0.673,0.554,0.715,0.446,0.389,0.784,0.129,0.107,0.439,0.028,0.762,0.279,0.621,0.114,0.868,0.127,0.232,0.548,0.228,0.380,0.886,0.129,0.236,0.385,0.875,0.388,0.237,0.400,0.000,0.247,0.208,1.15,2.56,1.51,0.51,1,0,0,0,0,0,0,0,0,0
956.5,124.6,0.091,0.221,0.000,0.127,0.542,0.844,0.829,0.449,0.462,0.429,0.000,0.000,0.534,0.291,0.562,1.000,0.628,0.581,0.507,0.488,0.318,0.878,0.526,0.581,0.451,0.621,0.214,0.168,0.596,0.497,0.441,0.458,0.468,0.732,0.060,0.075,0.399,0.090,0.750,0.408,0.914,0.221,0.751,0.205,0.317,0.578,0.227,0.426,0.857,0.162,0.337,0.442,0.659,0.433,0.164,0.400,0.190,0.247,0.239,0.79,2.19,1.41,0.73,1,0,0,0,0,0,0,0,0,0
